Date,Time,Zone,Capparis_spinosa,Cardus_sp,Coris_monspeliensis,Dipcadi_serotinum,Dittrichia_viscosa,Eryngium_campestre,Fumana_thymifolia,Helianthemum_hirtum,Helianthemum_squamatum,Helianthemum_syriacum,Lepidium_subulatum,Medicago_truncatula,Moricandia_moricandioides,Ononis_tridentata,Parentucelia_sp,Plantago_albicans,Pilosella_sp,Piptatherum_miliaceum,Reseda_stricta,Rosmarinus_officinalis,Sanguisorba_verrucosa,Stipa_tenacissima,Teucrium_capitatum,Thesium_humifisum,Thymus_zygis,Ulex_sp.,D1,D2,h,patch
11/8/23,09:15:31,Restauración,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,20,P-51
11/8/23,09:16:03,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,14,20,P-52
11/8/23,09:16:11,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,20,20,P-53
11/8/23,09:16:15,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,P-54
11/8/23,09:16:55,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,80,70,60,P-55
11/8/23,09:17:38,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,106,70,50,P-56
11/8/23,09:17:48,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,25,18,P-57
11/8/23,09:17:54,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,18,17,P-58
11/8/23,09:18:02,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,26,17,P-59
11/8/23,09:18:32,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,145,122,83,P-60
11/8/23,09:19:12,Restauración,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,100,74,47,P-61
11/8/23,09:19:25,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,37,35,P-62
11/8/23,09:19:41,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,23,39,P-63
11/8/23,09:19:47,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,22,21,P-64
11/8/23,09:20:01,Restauración,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,78,35,24,P-65
11/8/23,09:20:11,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,23,20,P-66
11/8/23,09:20:33,Restauración,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,80,40,27,P-67
11/8/23,09:20:41,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,20,20,P-68
11/8/23,09:20:46,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,20,20,P-69
11/8/23,09:21:04,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,69,40,37,P-70
11/8/23,09:21:21,Restauración,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,28,28,P-71
11/8/23,09:21:37,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,24,20,P-72
11/8/23,09:22:28,Restauración,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,138,140,89,P-73
11/8/23,09:22:47,Restauración,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,23,12,P-74
11/8/23,09:22:55,Restauración,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,14,12,P-75
11/8/23,09:23:14,Restauración,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,74,38,25,P-76
