n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
127,323.7745592148775,0.9651504540252424,0.7048628130837319,330.87288292490643,342.3203424123828,572.3994407560838,1,2,-1,1,1000000,200,natural,2025-01-27 18:54:273
127,226.13610894138628,0.9773737634728522,0.7092087880391615,229.23627761629984,241.05702522646575,267.4864993439403,1,3,-1,1,1000000,200,natural,2025-01-27 18:54:273
126,639.9032007572501,0.9445310980926628,0.5743489975232184,853.4812740487557,857.6664903969663,3055.2670114777734,1,1,-1,1,1000000,200,natural,2025-01-27 18:23:123
127,355.4472092447859,0.9672067480330876,0.6981965939840793,350.20069431947434,362.4647573291486,376.3683202031146,1,2,-1,1,1000000,200,natural,2025-01-27 18:23:123
127,222.79492163074664,0.9825504569599832,0.7128119699673529,228.38179867647588,239.40406107094088,310.9537519760669,1,3,-1,1,1000000,200,natural,2025-01-27 18:23:123
126,551.116240152737,0.9480781617160516,0.6163503189741102,763.2207725941322,765.4429226415922,4237.1367385999365,1,1,-1,1,1000000,200,natural,2025-01-27 17:47:103
127,313.2532821121793,0.9535910087042676,0.734255387039491,311.7842044414219,323.3377985091587,330.7841456797973,1,2,-1,1,1000000,200,natural,2025-01-27 17:47:103
127,217.0008348139858,0.9686242553527188,0.7546836012028054,216.5843316596576,227.6513644936233,246.7314694604384,1,3,-1,1,1000000,200,natural,2025-01-27 17:47:103
124,603.1602208268563,0.9417744263876794,0.6037235744952498,823.5493996049595,828.0129660053645,3346.878922632531,1,1,-1,1,1000000,200,natural,2025-01-27 17:04:103
127,279.68280016670445,0.9758174910176856,0.7294453410552479,277.551875308039,289.9546543848717,292.36028350435953,1,2,-1,1,1000000,200,natural,2025-01-27 17:04:103
127,181.08510251798253,0.9868089112331904,0.7249680202566858,182.0303277463031,194.45179825794472,208.07937930198403,1,3,-1,1,1000000,200,natural,2025-01-27 17:04:103
127,196.32997967198415,0.9759355380702476,0.7703130359679585,187.55091172937375,199.91534370015947,192.62328283683564,1,3,-1,1,1000000,200,natural,2025-01-27 15:42:343
126,622.1209504743059,0.948390521437824,0.5534256091007401,941.3316261763592,942.97230788222,17845.951606173796,1,1,-1,1,1000000,200,natural,2025-01-27 14:27:203
127,293.28196393753063,0.9755659203522028,0.7255776243324118,288.3031626258931,298.3631748785676,327.710803482023,1,2,-1,1,1000000,200,natural,2025-01-27 14:27:203
126,193.8198866940883,0.9866378323191328,0.7304591443908319,195.01033964166572,204.2489681286501,248.4468208769944,1,3,-1,1,1000000,200,natural,2025-01-27 14:27:203
126,663.0076067962337,0.943291691029328,0.5725607817400551,971.6607787722894,974.5411486927616,8336.054779762986,1,1,-1,1,1000000,200,natural,2025-01-27 13:43:363
127,333.7873132500838,0.9611232281881824,0.6950580463839127,339.3301853303616,350.40294311421314,378.1377928027563,1,2,-1,1,1000000,200,natural,2025-01-27 13:43:363
127,219.18739431540325,0.9741052845067834,0.7236304023345871,222.5798945303305,233.50000091628633,260.13552084802336,1,3,-1,1,1000000,200,natural,2025-01-27 13:43:363
126,573.2837673039455,0.9395629867332472,0.5919767625537639,809.7754568185488,813.2557930094141,8381.717741684955,1,1,-1,1,1000000,200,natural,2025-01-27 12:59:063
127,327.8101935297585,0.9566660880671768,0.7145443573860266,320.8387712710633,332.8677481376053,322.35512723315696,1,2,-1,1,1000000,200,natural,2025-01-27 12:59:063
127,242.95248542923147,0.9678942395779708,0.7279638589996394,236.51524888459497,248.88514070766743,240.38065172559868,1,3,-1,1,1000000,200,natural,2025-01-27 12:59:063
126,638.9876723293519,0.943832356751266,0.5372283319039675,941.2684478678508,944.2078064429792,12144.046419634977,1,1,-1,1,1000000,200,natural,2025-01-27 12:16:573
126,323.9228297141016,0.9679928190564802,0.6816931074955372,334.06713462670797,344.05046653895283,419.6763444152659,1,2,-1,1,1000000,200,natural,2025-01-27 12:16:573
125,239.73899905857365,0.97733358309565,0.682172261474545,251.0992670040565,260.52300869016256,311.4793563457693,1,3,-1,1,1000000,200,natural,2025-01-27 12:16:573
127,209.867508672256,0.9774987589606856,0.7560679808056067,215.916484706077,226.57757638375665,251.78056900376924,1,3,-1,1,1000000,200,natural,2025-01-14 19:23:033
127,259.55723528867077,0.9805605141288236,0.7146603652068892,269.91821236253634,279.95352273962544,358.49632796708767,1,2,-1,1,1000000,200,natural,2025-01-14 18:58:193
127,175.6860757942909,0.9814979507416852,0.7418342384458505,182.61239140370927,192.03553050470353,325.0799362890818,1,3,-1,1,1000000,200,natural,2025-01-14 18:58:193
