Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
T._zygis,A,-3.44844482274526,-3.44844482274526,1,3,-1,natural,2025-01-09 18:43:253
U._sp,A,-4.217646841136197,-4.217646841136197,1,3,-1,natural,2025-01-09 18:43:253
L._subulatum,A,-5.0074853462397355,-5.0074853462397355,1,3,-1,natural,2025-01-09 18:43:253
O._tridentata,A,-6.070113264371026,-6.070113264371026,1,3,-1,natural,2025-01-09 18:43:253
Other_species,A,-3.5677389834338253,-3.5677389834338253,1,3,-1,natural,2025-01-09 18:43:253
H._squamatum,A,-3.620437589774048,-3.620437589774048,1,3,-1,restoration,2025-01-09 18:43:223
H._syriacum,A,-2.909185108997379,-2.909185108997379,1,3,-1,restoration,2025-01-09 18:43:223
T._zygis,A,-1.6270547676709086,-1.6270547676709086,1,3,-1,restoration,2025-01-09 18:43:223
U._sp,A,-3.9020906467617933,-3.9020906467617933,1,3,-1,restoration,2025-01-09 18:43:223
L._subulatum,A,-4.319322645352574,-4.319322645352574,1,3,-1,restoration,2025-01-09 18:43:223
O._tridentata,A,-4.859219534471428,-4.859219534471428,1,3,-1,restoration,2025-01-09 18:43:223
Other_species,A,-2.8684500341816954,-2.8684500341816954,1,3,-1,restoration,2025-01-09 18:43:223
H._squamatum,A,-2.949725780021917,-2.949725780021917,1,3,-1,natural,2025-01-09 18:43:223
H._syriacum,A,-3.595553390881985,-3.595553390881985,1,3,-1,natural,2025-01-09 18:43:223
T._zygis,A,-3.894037461640646,-3.894037461640646,1,3,-1,natural,2025-01-09 18:43:223
U._sp,A,-5.067527145434,-5.067527145434,1,3,-1,natural,2025-01-09 18:43:223
L._subulatum,A,-5.15097397984329,-5.15097397984329,1,3,-1,natural,2025-01-09 18:43:223
O._tridentata,A,-5.91356594948032,-5.91356594948032,1,3,-1,natural,2025-01-09 18:43:223
Other_species,A,-3.464677531560969,-3.464677531560969,1,3,-1,natural,2025-01-09 18:43:223
H._squamatum,A,-2.6212489223843947,-2.6212489223843947,1,3,-1,restoration,2025-01-09 18:43:183
H._syriacum,A,-2.249185668234387,-2.249185668234387,1,3,-1,restoration,2025-01-09 18:43:183
T._zygis,A,-1.4724443062838004,-1.4724443062838004,1,3,-1,restoration,2025-01-09 18:43:183
U._sp,A,-4.164062093306711,-4.164062093306711,1,3,-1,restoration,2025-01-09 18:43:183
L._subulatum,A,-4.041469753084875,-4.041469753084875,1,3,-1,restoration,2025-01-09 18:43:183
O._tridentata,A,-3.1292317444426083,-3.1292317444426083,1,3,-1,restoration,2025-01-09 18:43:183
Other_species,A,-2.902304494938238,-2.902304494938238,1,3,-1,restoration,2025-01-09 18:43:183
H._squamatum,A,-2.698557116726016,-2.698557116726016,1,3,-1,natural,2025-01-09 18:43:183
H._syriacum,A,-3.737674681062485,-3.737674681062485,1,3,-1,natural,2025-01-09 18:43:183
T._zygis,A,-3.7296105273341484,-3.7296105273341484,1,3,-1,natural,2025-01-09 18:43:183
U._sp,A,-4.767304327723208,-4.767304327723208,1,3,-1,natural,2025-01-09 18:43:183
L._subulatum,A,-4.932559201068042,-4.932559201068042,1,3,-1,natural,2025-01-09 18:43:183
O._tridentata,A,-5.509253276968723,-5.509253276968723,1,3,-1,natural,2025-01-09 18:43:183
Other_species,A,-3.5119653104367363,-3.5119653104367363,1,3,-1,natural,2025-01-09 18:43:183
H._squamatum,A,-3.640213512327899,-3.640213512327899,1,3,-1,restoration,2025-01-09 18:43:143
H._syriacum,A,-2.4623967549890344,-2.4623967549890344,1,3,-1,restoration,2025-01-09 18:43:143
T._zygis,A,-1.0795420994412495,-1.0795420994412495,1,3,-1,restoration,2025-01-09 18:43:143
U._sp,A,-3.9039145908191024,-3.9039145908191024,1,3,-1,restoration,2025-01-09 18:43:143
L._subulatum,A,-3.988111163757315,-3.988111163757315,1,3,-1,restoration,2025-01-09 18:43:143
O._tridentata,A,-3.69080949106014,-3.69080949106014,1,3,-1,restoration,2025-01-09 18:43:143
Other_species,A,-2.7333423518139472,-2.7333423518139472,1,3,-1,restoration,2025-01-09 18:43:143
