Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
T._zygis,A,-3.725737726410684,-3.725737726410684,1,3,-1,natural,2025-01-17 19:37:433
U._sp,A,-4.709650124621929,-4.709650124621929,1,3,-1,natural,2025-01-17 19:37:433
L._subulatum,A,-5.136724477294825,-5.136724477294825,1,3,-1,natural,2025-01-17 19:37:433
O._tridentata,A,-5.4659809453677966,-5.4659809453677966,1,3,-1,natural,2025-01-17 19:37:433
P._albicans,A,-7.104586623735188,-7.104586623735188,1,3,-1,natural,2025-01-17 19:37:433
Other_species,A,-3.665696592805649,-3.665696592805649,1,3,-1,natural,2025-01-17 19:37:433
H._squamatum,A,-4.029672034786671,-4.029672034786671,1,3,-1,restoration,2025-01-17 19:37:363
H._syriacum,A,-2.4505564556454225,-2.4505564556454225,1,3,-1,restoration,2025-01-17 19:37:363
T._zygis,A,-1.3135769758732536,-1.3135769758732536,1,3,-1,restoration,2025-01-17 19:37:363
U._sp,A,-4.642702529004651,-4.642702529004651,1,3,-1,restoration,2025-01-17 19:37:363
L._subulatum,A,-3.1920537748974898,-3.1920537748974898,1,3,-1,restoration,2025-01-17 19:37:363
O._tridentata,A,-4.2367242159694625,-4.2367242159694625,1,3,-1,restoration,2025-01-17 19:37:363
P._albicans,A,-5.4549490358966635,-5.4549490358966635,1,3,-1,restoration,2025-01-17 19:37:363
Other_species,A,-2.740586599389356,-2.740586599389356,1,3,-1,restoration,2025-01-17 19:37:363
H._squamatum,A,-3.0232580683700587,-3.0232580683700587,1,3,-1,natural,2025-01-17 19:37:363
H._syriacum,A,-4.0565026890019,-4.0565026890019,1,3,-1,natural,2025-01-17 19:37:363
T._zygis,A,-3.8589432043598237,-3.8589432043598237,1,3,-1,natural,2025-01-17 19:37:363
U._sp,A,-4.741934545009075,-4.741934545009075,1,3,-1,natural,2025-01-17 19:37:363
L._subulatum,A,-5.328213885059296,-5.328213885059296,1,3,-1,natural,2025-01-17 19:37:363
O._tridentata,A,-6.264237407218507,-6.264237407218507,1,3,-1,natural,2025-01-17 19:37:363
P._albicans,A,-7.0703246523424195,-7.0703246523424195,1,3,-1,natural,2025-01-17 19:37:363
Other_species,A,-3.8765166830433024,-3.8765166830433024,1,3,-1,natural,2025-01-17 19:37:363
H._squamatum,A,-3.510001923387587,-3.510001923387587,1,3,-1,restoration,2025-01-17 19:37:293
H._syriacum,A,-3.0737125073750873,-3.0737125073750873,1,3,-1,restoration,2025-01-17 19:37:293
T._zygis,A,-1.7739853372634675,-1.7739853372634675,1,3,-1,restoration,2025-01-17 19:37:293
U._sp,A,-3.993924766525763,-3.993924766525763,1,3,-1,restoration,2025-01-17 19:37:293
L._subulatum,A,-4.371425790645696,-4.371425790645696,1,3,-1,restoration,2025-01-17 19:37:293
O._tridentata,A,-6.489111806115856,-6.489111806115856,1,3,-1,restoration,2025-01-17 19:37:293
P._albicans,A,-4.811675185447955,-4.811675185447955,1,3,-1,restoration,2025-01-17 19:37:293
Other_species,A,-3.641015385310235,-3.641015385310235,1,3,-1,restoration,2025-01-17 19:37:293
H._squamatum,A,-2.7677924616819936,-2.7677924616819936,1,3,-1,natural,2025-01-17 19:37:293
H._syriacum,A,-3.6788928212205594,-3.6788928212205594,1,3,-1,natural,2025-01-17 19:37:293
T._zygis,A,-3.5511098865342996,-3.5511098865342996,1,3,-1,natural,2025-01-17 19:37:293
U._sp,A,-4.450140962336016,-4.450140962336016,1,3,-1,natural,2025-01-17 19:37:293
L._subulatum,A,-5.0959632105989074,-5.0959632105989074,1,3,-1,natural,2025-01-17 19:37:293
O._tridentata,A,-5.64858264793267,-5.64858264793267,1,3,-1,natural,2025-01-17 19:37:293
P._albicans,A,-6.924369120038431,-6.924369120038431,1,3,-1,natural,2025-01-17 19:37:293
