n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
109,85.99152222575059,0.9650675631744254,0.7643874236747525,105.81400372953239,94.02479764844699,411.79169301772333,1,2,-1,1,1000000,200,natural,2025-01-28 06:04:413
116,130.758355650636,0.9218710213262293,0.7280893627228077,155.94922746348772,142.0897113635318,580.1052769553544,1,3,-1,1,1000000,200,natural,2025-01-28 06:04:413
127,365.01839285664386,0.8012609085385247,0.5640868849498333,416.65792257663315,449.2940857140732,811.4117334676013,1,1,-1,1,1000000,200,natural,2025-01-28 05:32:443
112,125.73440034972322,0.9532325056021528,0.7097689300415692,148.70317191106278,139.81804400436994,532.2539213877641,1,2,-1,1,1000000,200,natural,2025-01-28 05:32:443
115,150.6196315665615,0.9499107599682618,0.6650198959341773,184.73159474510635,175.79272837016276,657.976541560578,1,3,-1,1,1000000,200,natural,2025-01-28 05:32:443
127,325.4748528596191,0.8370168091213976,0.5710478792509551,342.3764550963472,376.2039572333671,618.9992791545095,1,1,-1,1,1000000,200,natural,2025-01-28 05:00:513
113,86.96128375119903,0.9736417039403988,0.7251425017567469,121.46197053337667,99.90452857867143,642.1102447588295,1,2,-1,1,1000000,200,natural,2025-01-28 05:00:513
115,111.90814602951303,0.9708952834842887,0.6868803486472661,160.57808621051188,140.10383619609914,1161.0897361749412,1,3,-1,1,1000000,200,natural,2025-01-28 05:00:513
127,300.3845415429591,0.83981669239991,0.5925292204241267,333.1512889702599,361.42854877334895,691.8790254797807,1,1,-1,1,1000000,200,natural,2025-01-28 04:29:113
112,82.72538648413008,0.960171865317082,0.7348977327315542,140.1381940270347,109.42547462803464,1201.772121437056,1,2,-1,1,1000000,200,natural,2025-01-28 04:29:113
109,97.98523714165542,0.9765003233242939,0.7044436263287679,157.45658587180316,133.18690788250407,1122.1082929005559,1,3,-1,1,1000000,200,natural,2025-01-28 04:29:113
127,304.9296550026353,0.8325701812922318,0.6064769382042932,309.20647923211243,342.5532041342556,431.5071092024827,1,1,-1,1,1000000,200,natural,2025-01-28 03:57:333
113,85.03063763392078,0.9711118674932135,0.7298502084355692,125.71238711416517,103.64572474372861,767.6263337971328,1,2,-1,1,1000000,200,natural,2025-01-28 03:57:333
112,125.06455995671827,0.9362633155163387,0.6999967534430752,163.2906949998436,149.43221646384018,1087.5917018536638,1,3,-1,1,1000000,200,natural,2025-01-28 03:57:333
127,309.58971152452926,0.8245664445984904,0.5915851886478662,329.85517467771695,357.30012993300426,554.3212115080687,1,1,-1,1,1000000,200,natural,2025-01-28 03:26:013
